No.,1,,,,,,No.,2,,,,,,No.,3,,,,,,No.,4,,,,,,No.,5,,,,,,No.,6,,,,,,No.,7,,,,,,No.,8,,,,,,No.,9,,,,,,No.,10,,,,,,No.,11,,,,,,No.,12,,,,,,No.,13,,,,,,No.,14,,,,,
[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,
Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-1.08827728398,-10.8827728398,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,2.022318977037,20.223189770372,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.186866510141,-21.86866510141,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.363184569655,3.631845696549,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.021385435975,-20.213854359755,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.402108655521,4.021086555207,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.030946200031,-20.309462000305,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.358559537042,3.585595370421,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.175962408465,-21.759624084651,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.329754427253,3.297544272534,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.027572370152,-20.275723701523,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.327636220504,3.276362205041,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-1.812218479705E-7,-1.812218479705E-6,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,1.15706474249E-6,1.15706474249E-5,,
,,0.680000007153,1.956388342578,19.563883425784,,,,,0.319999992847,0.643675406403,6.436754064026,,,,,0.680000007153,-1.91572013667,-19.157201366701,,,,,0.319999992847,-1.985436131054,-19.854361310542,,,,,0.680000007153,-1.917490644252,-19.174906442519,,,,,0.319999992847,-1.985916499835,-19.859164998353,,,,,0.680000007153,-1.920652950074,-19.206529500742,,,,,0.319999992847,-1.989696274077,-19.896962740771,,,,,0.680000007153,-1.91424520805,-19.142452080503,,,,,0.319999992847,-1.980965195893,-19.809651958926,,,,,0.680000007153,-1.919094698465,-19.190946984654,,,,,0.319999992847,-1.991165116228,-19.91165116228,,,,,0.680000007153,3.878188788891E-7,3.878188788891E-6,,,,,0.319999992847,-8.912443696733E-8,-8.912443696733E-7,,
,,0.699999988079,1.962663337945,19.626633379448,,,,,0.300000011921,0.680280624655,6.802806246546,,,,,0.699999988079,-1.915317505195,-19.153175051946,,,,,0.300000011921,-1.988871210841,-19.888712108412,,,,,0.699999988079,-1.911745633945,-19.117456339448,,,,,0.300000011921,-1.989011199626,-19.890111996263,,,,,0.699999988079,-1.911241111898,-19.112411118979,,,,,0.300000011921,-1.991938020737,-19.919380207366,,,,,0.699999988079,-1.9069613612,-19.069613611998,,,,,0.300000011921,-1.981687328464,-19.816873284644,,,,,0.699999988079,-1.914971693603,-19.14971693603,,,,,0.300000011921,-1.98898585218,-19.889858521798,,,,,0.699999988079,3.944374703727E-7,3.944374703727E-6,,,,,0.300000011921,-9.878658651116E-8,-9.878658651116E-7,,
,,0.72000002861,1.966932803281,19.669328032808,,,,,0.280000001192,0.711176330581,7.111763305813,,,,,0.72000002861,-1.912199615187,-19.121996151866,,,,,0.280000001192,-1.992104897846,-19.921048978464,,,,,0.72000002861,-1.908787918226,-19.087879182264,,,,,0.280000001192,-1.987293043382,-19.872930433815,,,,,0.72000002861,-1.902654991831,-19.026549918307,,,,,0.280000001192,-1.992976033341,-19.929760333408,,,,,0.72000002861,-1.899998787455,-18.999987874555,,,,,0.280000001192,-1.984173535451,-19.841735354514,,,,,0.72000002861,-1.909627504239,-19.096275042395,,,,,0.280000001192,-1.987853768961,-19.878537689611,,,,,0.72000002861,4.014548555097E-7,4.014548555097E-6,,,,,0.280000001192,-1.167475056059E-7,-1.167475056059E-6,,
,,0.740000009537,1.969041109888,19.690411098876,,,,,0.259999990463,0.697790683075,6.977906830749,,,,,0.740000009537,-1.903418959246,-19.034189592458,,,,,0.259999990463,-1.992948605709,-19.929486057087,,,,,0.740000009537,-1.900768764296,-19.007687642956,,,,,0.259999990463,-1.985695152681,-19.856951526809,,,,,0.740000009537,-1.89322631956,-18.9322631956,,,,,0.259999990463,-1.991396710222,-19.913967102225,,,,,0.740000009537,-1.889895441662,-18.898954416618,,,,,0.259999990463,-1.986468596497,-19.864685964969,,,,,0.740000009537,-1.902090568143,-19.020905681435,,,,,0.259999990463,-1.984445885675,-19.844458856745,,,,,0.740000009537,4.113142917759E-7,4.113142917759E-6,,,,,0.259999990463,-1.359554366852E-7,-1.359554366852E-6,,
,,0.759999990463,1.971696967565,19.716969675652,,,,,0.239999994636,0.669440296075,6.694402960755,,,,,0.759999990463,-1.895445916095,-18.954459160952,,,,,0.239999994636,-1.991979008097,-19.919790080969,,,,,0.759999990463,-1.891626849459,-18.916268494591,,,,,0.239999994636,-1.983694399373,-19.836943993729,,,,,0.759999990463,-1.886540911283,-18.865409112831,,,,,0.239999994636,-1.990797616776,-19.907976167756,,,,,0.759999990463,-1.884170308684,-18.841703086836,,,,,0.239999994636,-1.993494692945,-19.934946929453,,,,,0.759999990463,-1.892890369589,-18.928903695889,,,,,0.239999994636,-1.985942309545,-19.859423095453,,,,,0.759999990463,4.220555542054E-7,4.220555542054E-6,,,,,0.239999994636,-1.455345597067E-7,-1.455345597067E-6,,
,,0.77999997139,1.976815533837,19.768155338372,,,,,0.219999998808,0.6376644983,6.376644982999,,,,,0.77999997139,-1.886426847774,-18.864268477739,,,,,0.219999998808,-1.987721561611,-19.877215616109,,,,,0.77999997139,-1.880539383277,-18.805393832765,,,,,0.219999998808,-1.983703490554,-19.837034905544,,,,,0.77999997139,-1.879175975717,-18.79175975717,,,,,0.219999998808,-1.992019225018,-19.920192250181,,,,,0.77999997139,-1.871525592463,-18.71525592463,,,,,0.219999998808,-1.992943520811,-19.929435208106,,,,,0.77999997139,-1.884441618814,-18.844416188139,,,,,0.219999998808,-1.986938102087,-19.869381020866,,,,,0.77999997139,4.36653637391E-7,4.36653637391E-6,,,,,0.219999998808,-1.459336242985E-7,-1.459336242985E-6,,
,,0.800000011921,1.978286918437,19.782869184371,,,,,0.20000000298,0.610617597959,6.106175979588,,,,,0.800000011921,-1.875797561726,-18.757975617261,,,,,0.20000000298,-1.987815555182,-19.878155551815,,,,,0.800000011921,-1.869047012823,-18.690470128231,,,,,0.20000000298,-1.986322521243,-19.863225212428,,,,,0.800000011921,-1.86835500442,-18.683550044203,,,,,0.20000000298,-1.99461468027,-19.946146802701,,,,,0.800000011921,-1.859186933176,-18.591869331763,,,,,0.20000000298,-1.99544159256,-19.954415925599,,,,,0.800000011921,-1.873998624941,-18.739986249414,,,,,0.20000000298,-1.992605760308,-19.926057603076,,,,,0.800000011921,4.52799917241E-7,4.52799917241E-6,,,,,0.20000000298,-1.501576399525E-7,-1.501576399525E-6,,
,,0.819999992847,1.980920587469,19.809205874686,,,,,0.180000007153,0.618399784082,6.183997840824,,,,,0.819999992847,-1.860991455645,-18.609914556446,,,,,0.180000007153,-1.988885155789,-19.88885155789,,,,,0.819999992847,-1.85330578628,-18.533057862797,,,,,0.180000007153,-1.992154360037,-19.921543600369,,,,,0.819999992847,-1.853929418212,-18.53929418212,,,,,0.180000007153,-1.993852022601,-19.938520226015,,,,,0.819999992847,-1.841210932447,-18.412109324473,,,,,0.180000007153,-1.990829358867,-19.908293588667,,,,,0.819999992847,-1.861555070371,-18.615550703708,,,,,0.180000007153,-1.996851573163,-19.968515731632,,,,,0.819999992847,4.651042549816E-7,4.651042549816E-6,,,,,0.180000007153,-1.821709081667E-7,-1.821709081667E-6,,
,,0.839999973774,1.984488568001,19.844885680008,,,,,0.159999996424,0.594911888658,5.94911888658,,,,,0.839999973774,-1.843985091049,-18.439850910493,,,,,0.159999996424,-1.991589011823,-19.915890118227,,,,,0.839999973774,-1.836103075279,-18.361030752788,,,,,0.159999996424,-1.993841082366,-19.938410823662,,,,,0.839999973774,-1.838051400206,-18.380514002057,,,,,0.159999996424,-1.998281970403,-19.982819704028,,,,,0.839999973774,-1.821642934877,-18.216429348767,,,,,0.159999996424,-1.991249787485,-19.912497874855,,,,,0.839999973774,-1.8446492866,-18.446492866004,,,,,0.159999996424,-1.998591609878,-19.985916098785,,,,,0.839999973774,4.596175427695E-7,4.596175427695E-6,,,,,0.159999996424,-1.93113303265E-7,-1.93113303265E-6,,
,,0.860000014305,1.991645330921,19.916453309212,,,,,0.140000000596,0.566171158687,5.661711586869,,,,,0.860000014305,-1.825854578758,-18.25854578758,,,,,0.140000000596,-1.991720602822,-19.917206028216,,,,,0.860000014305,-1.817684726938,-18.176847269385,,,,,0.140000000596,-1.992163913482,-19.921639134818,,,,,0.860000014305,-1.820042848425,-18.200428484246,,,,,0.140000000596,-1.999410740733,-19.994107407333,,,,,0.860000014305,-1.8015148666,-18.015148665998,,,,,0.140000000596,-1.991275597195,-19.912755971954,,,,,0.860000014305,-1.825044192387,-18.25044192387,,,,,0.140000000596,-2.00134862621,-20.013486262104,,,,,0.860000014305,4.537971263911E-7,4.537971263911E-6,,,,,0.140000000596,-1.960568093145E-7,-1.960568093145E-6,,
,,0.879999995232,1.998188901359,19.981889013591,,,,,0.119999997318,0.506803750494,5.068037504935,,,,,0.879999995232,-1.806571682178,-18.065716821777,,,,,0.119999997318,-1.991852039733,-19.918520397327,,,,,0.879999995232,-1.795418035276,-17.954180352761,,,,,0.119999997318,-1.989534635953,-19.895346359532,,,,,0.879999995232,-1.795732451474,-17.957324514742,,,,,0.119999997318,-2.000154676732,-20.001546767317,,,,,0.879999995232,-1.779053947239,-17.790539472394,,,,,0.119999997318,-1.993332977777,-19.933329777774,,,,,0.879999995232,-1.803968984798,-18.039689847982,,,,,0.119999997318,-2.001948027833,-20.019480278329,,,,,0.879999995232,4.56623389623E-7,4.56623389623E-6,,,,,0.119999997318,-1.924312504867E-7,-1.924312504867E-6,,
,,0.899999976158,2.002479168551,20.024791685509,,,,,0.10000000149,0.42007993731,4.200799373102,,,,,0.899999976158,-1.78396618992,-17.839661899195,,,,,0.10000000149,-1.991311499658,-19.913114996576,,,,,0.899999976158,-1.770608239699,-17.706082396989,,,,,0.10000000149,-1.987775646436,-19.87775646436,,,,,0.899999976158,-1.76778115193,-17.677811519305,,,,,0.10000000149,-1.999519526735,-19.995195267348,,,,,0.899999976158,-1.75788335929,-17.578833592896,,,,,0.10000000149,-1.993888464371,-19.938884643711,,,,,0.899999976158,-1.778828093016,-17.788280930162,,,,,0.10000000149,-2.003526888688,-20.035268886878,,,,,0.899999976158,4.708236618806E-7,4.708236618806E-6,,,,,0.10000000149,-2.108745454103E-7,-2.108745454103E-6,,
,,0.920000016689,2.005961861474,20.059618614744,,,,,0.079999998212,0.318217949161,3.182179491613,,,,,0.920000016689,-1.755997786628,-17.559977866277,,,,,0.079999998212,-1.993416724508,-19.93416724508,,,,,0.920000016689,-1.739415356149,-17.39415356149,,,,,0.079999998212,-1.988611803995,-19.88611803995,,,,,0.920000016689,-1.73847280095,-17.384728009498,,,,,0.079999998212,-1.998619037511,-19.986190375106,,,,,0.920000016689,-1.728699241614,-17.286992416144,,,,,0.079999998212,-1.994093401173,-19.940934011726,,,,,0.920000016689,-1.745347852812,-17.45347852812,,,,,0.079999998212,-2.002795819022,-20.027958190224,,,,,0.920000016689,4.877670422669E-7,4.877670422669E-6,,,,,0.079999998212,-2.223498899599E-7,-2.223498899599E-6,,
,,0.939999997616,2.006660649741,20.066606497413,,,,,0.059999998659,0.230573952404,2.305739524042,,,,,0.939999997616,-1.71545982345,-17.154598234498,,,,,0.059999998659,-1.994934566586,-19.949345665858,,,,,0.939999997616,-1.709352167457,-17.093521674567,,,,,0.059999998659,-1.990077795521,-19.900777955212,,,,,0.939999997616,-1.703052363951,-17.030523639512,,,,,0.059999998659,-2.003614718746,-20.036147187456,,,,,0.939999997616,-1.691465499142,-16.914654991417,,,,,0.059999998659,-1.99576964553,-19.957696455301,,,,,0.939999997616,-1.706143327113,-17.061433271125,,,,,0.059999998659,-2.000885438221,-20.008854382214,,,,,0.939999997616,4.913256471845E-7,4.913256471845E-6,,,,,0.059999998659,-2.168455575726E-7,-2.168455575726E-6,,
,,0.959999978542,2.011471425591,20.114714255915,,,,,0.039999999106,0.141035279766,1.410352797656,,,,,0.959999978542,-1.663609117696,-16.636091176955,,,,,0.039999999106,-1.996126127703,-19.961261277033,,,,,0.959999978542,-1.670699622853,-16.70699622853,,,,,0.039999999106,-1.99464896481,-19.946489648102,,,,,0.959999978542,-1.661203652727,-16.612036527265,,,,,0.039999999106,-2.003086428652,-20.030864286523,,,,,0.959999978542,-1.644027791528,-16.440277915284,,,,,0.039999999106,-1.998038049383,-19.980380493826,,,,,0.959999978542,-1.662894188729,-16.628941887294,,,,,0.039999999106,-1.994205500062,-19.942055000622,,,,,0.959999978542,4.919400618186E-7,4.919400618186E-6,,,,,0.039999999106,-2.192070192289E-7,-2.192070192289E-6,,
,,0.980000019073,2.011630059003,20.116300590029,,,,,0.019999999553,0.03529771568,0.352977156799,,,,,0.980000019073,-1.605969794781,-16.059697947809,,,,,0.019999999553,-1.997955535355,-19.979555353546,,,,,0.980000019073,-1.622873613932,-16.228736139315,,,,,0.019999999553,-1.993803407894,-19.938034078941,,,,,0.980000019073,-1.605379407296,-16.053794072958,,,,,0.019999999553,-2.004654195184,-20.04654195184,,,,,0.980000019073,-1.587799258178,-15.877992581782,,,,,0.019999999553,-1.995747842104,-19.957478421035,,,,,0.980000019073,-1.609639473275,-16.096394732748,,,,,0.019999999553,-1.995495369209,-19.954953692093,,,,,0.980000019073,5.08402880285E-7,5.08402880285E-6,,,,,0.019999999553,-2.355874540775E-7,-2.355874540775E-6,,
,,1,2.014197316184,20.141973161836,,,,,0,0.620199780221,6.20199780221,,,,,1,-1.541126095809,-15.411260958093,,,,,0,-1.999665293813,-19.996652938131,,,,,1,-1.558959526782,-15.589595267822,,,,,0,-1.995463935294,-19.954639352939,,,,,1,-1.538729375324,-15.387293753241,,,,,0,-2.003660251697,-20.036602516966,,,,,1,-1.523085724893,-15.230857248931,,,,,0,-1.996090610461,-19.960906104607,,,,,1,-1.541008565324,-15.41008565324,,,,,0,-1.995892145348,-19.958921453476,,,,,1,5.20475689751E-7,5.20475689751E-6,,,,,0,-2.577218565335E-7,-2.577218565335E-6,,
,,1.019999980927,2.012871929794,20.128719297938,,,,,-0.019999999553,1.231968878872,12.319688788715,,,,,1.019999980927,-1.463389984445,-14.633899844453,,,,,-0.019999999553,-1.997751677168,-19.977516771678,,,,,1.019999980927,-1.477632360235,-14.776323602348,,,,,-0.019999999553,-1.995150366579,-19.951503665787,,,,,1.019999980927,-1.453878104751,-14.538781047514,,,,,-0.019999999553,-2.002148496088,-20.021484960877,,,,,1.019999980927,-1.441318984315,-14.413189843152,,,,,-0.019999999553,-1.997144340023,-19.971443400225,,,,,1.019999980927,-1.455163312742,-14.551633127419,,,,,-0.019999999553,-1.997326394783,-19.973263947827,,,,,1.019999980927,5.406786326248E-7,5.406786326248E-6,,,,,-0.019999999553,-2.635258880318E-7,-2.635258880318E-6,,
,,1.039999961853,2.013877044648,20.138770446483,,,,,-0.039999999106,1.891788949846,18.917889498465,,,,,1.039999961853,-1.361395750424,-13.613957504242,,,,,-0.039999999106,-1.999537246834,-19.995372468341,,,,,1.039999961853,-1.374937681503,-13.749376815028,,,,,-0.039999999106,-1.997643738649,-19.976437386494,,,,,1.039999961853,-1.351568799659,-13.515687996589,,,,,-0.039999999106,-1.998600546972,-19.986005469721,,,,,1.039999961853,-1.341403664649,-13.414036646491,,,,,-0.039999999106,-2.001097154887,-20.01097154887,,,,,1.039999961853,-1.352145203674,-13.521452036742,,,,,-0.039999999106,-1.996253712419,-19.962537124189,,,,,1.039999961853,5.398958872273E-7,5.398958872273E-6,,,,,-0.039999999106,-2.766469716329E-7,-2.766469716329E-6,,
,,1.05999994278,2.012723543223,20.127235432225,,,,,-0.059999998659,1.870090765199,18.700907651986,,,,,1.05999994278,-1.237492192919,-12.374921929189,,,,,-0.059999998659,-1.997517001417,-19.975170014169,,,,,1.05999994278,-1.248395870853,-12.483958708534,,,,,-0.059999998659,-1.997510683816,-19.975106838162,,,,,1.05999994278,-1.226516941192,-12.265169411918,,,,,-0.059999998659,-1.993182665108,-19.931826651084,,,,,1.05999994278,-1.218190035361,-12.18190035361,,,,,-0.059999998659,-2.001760965219,-20.017609652186,,,,,1.05999994278,-1.227301440809,-12.273014408089,,,,,-0.059999998659,-1.998894623578,-19.988946235779,,,,,1.05999994278,5.558079569726E-7,5.558079569726E-6,,,,,-0.059999998659,-2.953393185705E-7,-2.953393185705E-6,,
,,1.080000042915,2.015844052723,20.158440527235,,,,,-0.079999998212,1.860884017912,18.608840179116,,,,,1.080000042915,-1.098788095755,-10.987880957546,,,,,-0.079999998212,-1.999931480523,-19.999314805234,,,,,1.080000042915,-1.10624109251,-11.062410925103,,,,,-0.079999998212,-1.997557988777,-19.975579887772,,,,,1.080000042915,-1.087757950241,-10.877579502413,,,,,-0.079999998212,-1.993166408843,-19.931664088433,,,,,1.080000042915,-1.081157309527,-10.811573095269,,,,,-0.079999998212,-2.002988274711,-20.029882747105,,,,,1.080000042915,-1.087309342812,-10.873093428123,,,,,-0.079999998212,-2.006321117228,-20.063211172284,,,,,1.080000042915,5.553263480369E-7,5.553263480369E-6,,,,,-0.079999998212,-3.017082794261E-7,-3.017082794261E-6,,
,,1.100000023842,2.019763045311,20.197630453113,,,,,-0.10000000149,1.842373332445,18.423733324447,,,,,1.100000023842,-0.927068448731,-9.270684487313,,,,,-0.10000000149,-1.996482070569,-19.964820705691,,,,,1.100000023842,-0.930683907573,-9.306839075733,,,,,-0.10000000149,-1.997660226046,-19.976602260462,,,,,1.100000023842,-0.916607696237,-9.166076962375,,,,,-0.10000000149,-1.996068421814,-19.960684218145,,,,,1.100000023842,-0.909317146567,-9.093171465668,,,,,-0.10000000149,-2.003518336814,-20.035183368137,,,,,1.100000023842,-0.915753317794,-9.157533177936,,,,,-0.10000000149,-2.007532555675,-20.075325556748,,,,,1.100000023842,5.519499973571E-7,5.519499973571E-6,,,,,-0.10000000149,-2.918300519802E-7,-2.918300519802E-6,,
,,1.120000004768,2.022963295259,20.229632952595,,,,,-0.119999997318,1.829540128297,18.295401282975,,,,,1.120000004768,-0.72433899375,-7.243389937501,,,,,-0.119999997318,-2.000773416376,-20.007734163757,,,,,1.120000004768,-0.722421399713,-7.22421399713,,,,,-0.119999997318,-1.996662738539,-19.966627385389,,,,,1.120000004768,-0.716255585198,-7.16255585198,,,,,-0.119999997318,-1.998801015227,-19.988010152268,,,,,1.120000004768,-0.710392668817,-7.103926688166,,,,,-0.119999997318,-2.005181021443,-20.05181021443,,,,,1.120000004768,-0.71740762279,-7.174076227895,,,,,-0.119999997318,-2.0046887879,-20.046887878998,,,,,1.120000004768,5.548597646975E-7,5.548597646975E-6,,,,,-0.119999997318,-3.01375603907E-7,-3.01375603907E-6,,
,,1.139999985695,2.023715397912,20.237153979123,,,,,-0.140000000596,1.813315836436,18.133158364361,,,,,1.139999985695,-0.478819081306,-4.788190813061,,,,,-0.140000000596,-1.999255112034,-19.992551120344,,,,,1.139999985695,-0.470932495869,-4.709324958687,,,,,-0.140000000596,-1.998433053511,-19.98433053511,,,,,1.139999985695,-0.47644548844,-4.764454884398,,,,,-0.140000000596,-2.001649790856,-20.01649790856,,,,,1.139999985695,-0.472501283232,-4.725012832323,,,,,-0.140000000596,-2.008296754222,-20.082967542215,,,,,1.139999985695,-0.478154115316,-4.781541153159,,,,,-0.140000000596,-2.005244890845,-20.052448908447,,,,,1.139999985695,5.78920042651E-7,5.78920042651E-6,,,,,-0.140000000596,-2.941919453009E-7,-2.941919453009E-6,,
,,1.159999966621,2.027514741307,20.275147413074,,,,,-0.159999996424,1.802656734395,18.026567343951,,,,,1.159999966621,-0.218359717829,-2.183597178289,,,,,-0.159999996424,-2.001004239931,-20.010042399311,,,,,1.159999966621,-0.191909591191,-1.919095911907,,,,,-0.159999996424,-2.003606398003,-20.036063980033,,,,,1.159999966621,-0.219886241792,-2.198862417924,,,,,-0.159999996424,-2.003368640496,-20.033686404959,,,,,1.159999966621,-0.223897216383,-2.238972163825,,,,,-0.159999996424,-2.008700849531,-20.087008495313,,,,,1.159999966621,-0.225712809098,-2.257128090976,,,,,-0.159999996424,-2.005112837582,-20.051128375824,,,,,1.159999966621,5.949345913715E-7,5.949345913715E-6,,,,,-0.159999996424,-3.027898743823E-7,-3.027898743823E-6,,
,,1.179999947548,2.028499054306,20.284990543061,,,,,-0.180000007153,1.793410348016,17.934103480163,,,,,1.179999947548,0.066300966479,0.663009664787,,,,,-0.180000007153,-1.999594798635,-19.995947986352,,,,,1.179999947548,0.116290405721,1.16290405721,,,,,-0.180000007153,-2.007546500623,-20.075465006225,,,,,1.179999947548,0.060018127079,0.600181270792,,,,,-0.180000007153,-2.00522963615,-20.052296361504,,,,,1.179999947548,0.048195342982,0.481953429819,,,,,-0.180000007153,-2.008041045483,-20.080410454831,,,,,1.179999947548,0.048866294321,0.48866294321,,,,,-0.180000007153,-2.006743857164,-20.067438571645,,,,,1.179999947548,5.945694032541E-7,5.945694032541E-6,,,,,-0.180000007153,-2.91032666729E-7,-2.91032666729E-6,,
,,1.200000047684,2.024655718838,20.246557188382,,,,,-0.20000000298,1.786659490938,17.866594909376,,,,,1.200000047684,0.364232867621,3.642328676211,,,,,-0.20000000298,-2.003735061334,-20.037350613335,,,,,1.200000047684,0.443488169331,4.434881693313,,,,,-0.20000000298,-2.009489779173,-20.094897791733,,,,,1.200000047684,0.35414671225,3.541467122499,,,,,-0.20000000298,-2.003556165374,-20.035561653737,,,,,1.200000047684,0.332460344212,3.324603442118,,,,,-0.20000000298,-2.005440120114,-20.054401201135,,,,,1.200000047684,0.336290081429,3.362900814295,,,,,-0.20000000298,-2.00332734496,-20.0332734496,,,,,1.200000047684,5.774258958853E-7,5.774258958853E-6,,,,,-0.20000000298,-3.049515029553E-7,-3.049515029553E-6,,
==========,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Name,Isc (mA),Voc (V),Pmax (mW),Imax (mA),Vmax (V),Efficiency (%),Fill Factor (%),Jsc (mA/cm^2),Jmax (mA/cm^2),Area (cm^2),Rs (ohm),Rsh (ohm),V/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Forward(1),-0.291373,-0.03689,0,-0.291373,0,0,-0,-2.913734,-2.913734,0.1,128.76,126.1,0.301529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Reverse(1),-0.6202,---,---,---,---,---,---,-6.201998,---,0.1,---,58.2,0.276134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Forward(1),1.985629,1.175342,1.615518,1.755998,0.92,16.15518,69.22286,19.85629,17.559978,0.1,73.47,19278.5,0.309803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Reverse(1),1.999665,1.178252,1.687217,1.794911,0.94,16.87217,71.6103,19.996653,17.949112,0.1,67.21,38981.8,0.297809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Forward(1),1.991151,1.172454,1.606791,1.709352,0.94,16.06791,68.82712,19.911509,17.093522,0.1,68.52,33027.9,0.323176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Reverse(1),1.995464,1.176817,1.691062,1.761523,0.96,16.91062,72.01229,19.954639,17.615231,0.1,65.4,18896.5,0.30581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Forward(1),1.995841,1.175711,1.600869,1.703052,0.94,16.00869,68.22273,19.958412,17.030524,0.1,74.7,109960.1,0.310078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Reverse(1),2.00366,1.17833,1.68441,1.791926,0.94,16.8441,71.34389,20.036603,17.919256,0.1,67.74,13092.2,0.297619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Forward(1),1.993706,1.176457,1.590403,1.728699,0.92,15.90403,67.80628,19.937061,17.286992,0.1,76.73,13168.1,0.310078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Reverse(1),1.996091,1.179124,1.672568,1.779328,0.94,16.72568,71.0631,19.960906,17.793276,0.1,70.36,21970.5,0.293563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single jv 2.CH_Ref.Forward(1),1.998484,1.176441,1.60572,1.745348,0.92,16.0572,68.29662,19.984838,17.453479,0.1,75.92,15568.7,0.309735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
